local_path_x,local_path_y,global_path_x,global_path_y,actual_path_taken_x,actual_path_taken_y,error_local_path_to_global_path,error_local_path_to_actual_robot_path,error_between_global_path_&_actual_path,goal_x,goal_y
1.05454,-1.18984,1.025,-1.225,1.05433,-1.19162,0.0459220775,0.0017923448,0.0459570419,,
1.05433,-1.19162,1.025,-1.225,1.05433,-1.19162,0.0444350459,0,0.0444350459,,
1.05433,-1.19162,1.025,-1.225,1.05433,-1.19162,0.0444350459,0,0.0444350459,,
1.05433,-1.19162,1.025,-1.225,1.05433,-1.19162,0.0444350459,0,0.0444350459,,
1.05404,-1.19342,1.025,-1.225,1.05404,-1.19342,0.0429024242,0,0.0429024242,,
1.05404,-1.19342,1.025,-1.225,1.05404,-1.19342,0.0429024242,0,0.0429024242,,
1.05404,-1.19342,1.025,-1.225,1.05404,-1.19342,0.0429024242,0,0.0429024242,,
1.05404,-1.19342,1.025,-1.225,1.05404,-1.19342,0.0429024242,0,0.0429024242,,
1.05404,-1.19342,1.025,-1.225,1.05404,-1.19342,0.0429024242,0,0.0429024242,,
1.05404,-1.19342,1.025,-1.225,1.05384,-1.19521,0.0429024242,0.0018011385,0.0429402154,,
1.05404,-1.19342,1.025,-1.225,1.05384,-1.19521,0.0429024242,0.0018011385,0.0429402154,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05384,-1.19521,0.0414631125,0,0.0414631125,,
1.05384,-1.19521,1.025,-1.225,1.05362,-1.19701,0.0414631125,0.0018133946,0.0415027481,,
1.05384,-1.19521,1.025,-1.225,1.05362,-1.19701,0.0414631125,0.0018133946,0.0415027481,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.05362,-1.19701,0.0400317936,0,0.0400317936,,
1.05362,-1.19701,1.025,-1.225,1.0534,-1.1988,0.0400317936,0.0018034689,0.040072397,,
1.05362,-1.19701,1.025,-1.225,1.0534,-1.1988,0.0400317936,0.0018034689,0.040072397,,
1.05362,-1.19701,1.025,-1.225,1.0534,-1.1988,0.0400317936,0.0018034689,0.040072397,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.0534,-1.1988,0.0386393582,0,0.0386393582,,
1.0534,-1.1988,1.025,-1.225,1.05312,-1.2006,0.0386393582,0.0018216476,0.038682275,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05312,-1.2006,0.0372302887,0,0.0372302887,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05286,-1.20236,0.0372302887,0.0017791009,0.0372727729,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20285,0.0372302887,0.0022673553,0.0372992667,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05285,-1.20277,0.0372302887,0.0021867327,0.0372944527,,
1.05312,-1.2006,1.025,-1.225,1.05284,-1.20274,0.0372302887,0.00215824,0.0372927929,,
